id, lat, lon, hospital
1, 14.5912608,-90.5339537, la aurora
2,14.6066967,-90.5092556, el pilar
3, 14.627218,-90.5185984, cedros
4, 14.6397517,-90.5218656, promesa
5, 14.6397517,-90.5218656, San Juan de Dios
6, 14.6352042,-90.4923467, centro medico militar
7, 14.5809036,-90.5187131, la paz
8, 14.5809036,-90.5187131, Maranatha
9, 14.6027031,-90.5345902, autonomia igss
10, 14.5815939,-90.5169868, las america
11, 14.6043228,-90.5634769, Hermano Pedro
12, 14.5793163,-90.5557134, Santa Clara Villasol
13, 14.6513921,-90.5003986, General Dr. Juan Jose Arevalo